row, tx_hash, token_address, from_address, to_address, from_is_contract, to_is_contract, token_id, blk_number, blk_timestamp, eth_value, weth_value
33, 0x7269ca4915a784b553e025d73634486d4823121a202ed8496e8b0f7f640c63a0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x102a618b36c32b338c03526255dcf2a39eb1897f, false, false, 14843, 12287834, 1619065282.0, 0.0, 0
34, 0x7269ca4915a784b553e025d73634486d4823121a202ed8496e8b0f7f640c63a0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x102a618b36c32b338c03526255dcf2a39eb1897f, false, false, 11151, 12287834, 1619065282.0, 0.0, 0
35, 0xa982ab534133ae0e9b0596f41966e8cfb07d288365711d4491de17978c652723, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x7c6553933a471b43ce3a76a02245c5162c82522c, false, false, 11171, 12287841, 1619065358.0, 0.0, 0
36, 0x5fcc837782fffdc428c2fcf41a13c949b4bd76ae909f321f17a156588c94586d, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xb0e7d87fcb3d146d55eb694f9851833f18a7db11, false, false, 11549, 12287855, 1619065598.0, 0.0, 0
37, 0x84733a46e8664e093087572954cccf6dc986869bc2787f68646fb004b9bcf322, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x6273540b8160b2d923652552fade0da98bb10dc5, false, false, 20255, 12287857, 1619065626.0, 0.0, 0
38, 0x84733a46e8664e093087572954cccf6dc986869bc2787f68646fb004b9bcf322, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x6273540b8160b2d923652552fade0da98bb10dc5, false, false, 21033, 12287857, 1619065626.0, 0.0, 0
39, 0x84733a46e8664e093087572954cccf6dc986869bc2787f68646fb004b9bcf322, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x6273540b8160b2d923652552fade0da98bb10dc5, false, false, 17809, 12287857, 1619065626.0, 0.0, 0
40, 0x84733a46e8664e093087572954cccf6dc986869bc2787f68646fb004b9bcf322, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x6273540b8160b2d923652552fade0da98bb10dc5, false, false, 21282, 12287857, 1619065626.0, 0.0, 0
41, 0xe73e9216cd9d9d4a81437784f4f4304c4c60ee7e9f71be88794132fc865054f4, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x7c6553933a471b43ce3a76a02245c5162c82522c, false, false, 1675, 12287858, 1619065639.0, 0.0, 0
42, 0xe73e9216cd9d9d4a81437784f4f4304c4c60ee7e9f71be88794132fc865054f4, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x7c6553933a471b43ce3a76a02245c5162c82522c, false, false, 2914, 12287858, 1619065639.0, 0.0, 0
43, 0xe73e9216cd9d9d4a81437784f4f4304c4c60ee7e9f71be88794132fc865054f4, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x7c6553933a471b43ce3a76a02245c5162c82522c, false, false, 8539, 12287858, 1619065639.0, 0.0, 0
44, 0xe73e9216cd9d9d4a81437784f4f4304c4c60ee7e9f71be88794132fc865054f4, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x7c6553933a471b43ce3a76a02245c5162c82522c, false, false, 3792, 12287858, 1619065639.0, 0.0, 0
45, 0xe73e9216cd9d9d4a81437784f4f4304c4c60ee7e9f71be88794132fc865054f4, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x7c6553933a471b43ce3a76a02245c5162c82522c, false, false, 1799, 12287858, 1619065639.0, 0.0, 0
